"bron","text"
"BurgelijkWetboek01","Allen die zich in Nederland bevinden, zijn vrij en bevoegd tot het genot van de burgerlijke rechten."
"BurgelijkWetboek01","Persoonlijke dienstbaarheden, van welke aard of onder welke benaming ook, worden niet geduld."
"BurgelijkWetboek01","Het kind waarvan een vrouw zwanger is wordt als reeds geboren aangemerkt, zo dikwijls zijn belang dit vordert. Komt het dood ter wereld, dan wordt het geacht nooit te hebben bestaan."
"BurgelijkWetboek01","De graad van bloedverwantschap wordt bepaald door het getal der geboorten, die de bloedverwantschap hebben veroorzaakt. Hierbij telt een erkenning, een gerechtelijke vaststelling van het ouderschap of een adoptie als een geboorte."
"BurgelijkWetboek01","Door huwelijk of door geregistreerd partnerschap ontstaat tussen de ene echtgenoot dan wel de ene geregistreerde partner en een bloedverwant van de andere echtgenoot dan wel de andere geregistreerde partner aanverwantschap in dezelfde graad als er bloedverwantschap bestaat tussen de andere echtgenoot dan wel de andere geregistreerde partner en diens bloedverwant."
"BurgelijkWetboek01","Door het eindigen van het huwelijk of geregistreerd partnerschap wordt de aanverwantschap niet opgeheven."
"BurgelijkWetboek01","Een ieder heeft de voornamen die hem in zijn geboorteakte zijn gegeven."
"BurgelijkWetboek01","De ambtenaar van de burgerlijke stand weigert in de geboorteakte voornamen op te nemen die ongepast zijn, of overeenstemmen met bestaande geslachtsnamen tenzij deze tevens gebruikelijke voornamen zijn."
"BurgelijkWetboek01","Geeft de aangever geen voornamen op, of worden deze alle geweigerd zonder dat de aangever ze door een of meer andere vervangt, dan geeft de ambtenaar ambtshalve het kind een of meer voornamen, en vermeldt hij uitdrukkelijk in de akte dat die voornamen ambtshalve zijn gegeven."
"BurgelijkWetboek01","Wijziging van de voornamen kan op verzoek van de betrokken persoon of zijn wettelijke vertegenwoordiger worden gelast door de rechtbank. De wijziging geschiedt doordat van de beschikking een latere vermelding aan de akte van geboorte wordt toegevoegd, overeenkomstig artikel 20a, eerste lid. In geval van wijziging van de voornamen van een buiten Nederland geboren persoon geeft de rechtbank die de beschikking geeft, voor zoveel nodig ambtshalve hetzij een last tot inschrijving van de akte van geboorte dan wel van de akte of de uitspraak, bedoeld in artikel 25g, eerste lid, hetzij de in artikel 25c bedoelde beschikking."
"BurgelijkWetboek01","Indien een kind alleen in familierechtelijke betrekking tot de moeder staat, heeft het haar geslachtsnaam. Indien een kind door adoptie alleen in familierechtelijke betrekking tot de vader staat, heeft het zijn geslachtsnaam."
"BurgelijkWetboek01","Indien een kind door erkenning in familierechtelijke betrekking tot de vader komt te staan, houdt het de geslachtsnaam van de moeder, tenzij de moeder en de erkenner ter gelegenheid van de erkenning gezamenlijk verklaren dat het kind de geslachtsnaam van de vader zal hebben of van beide ouders in een vrij te bepalen volgorde. Van deze verklaring wordt melding gemaakt in de akte van erkenning. De eerste twee volzinnen zijn van overeenkomstige toepassing bij erkenning van een ongeboren kind. De ouders kunnen evenwel ter gelegenheid van de voltrekking van hun huwelijk of van de registratie van hun partnerschap alsnog gezamenlijk verklaren, dat hun kind voortaan de geslachtsnaam van de andere ouder zal hebben of van beide ouders in een vrij te bepalen volgorde. Van deze verklaring wordt een akte van naamskeuze opgemaakt. Indien een kind door gerechtelijke vaststelling van het vaderschap in familierechtelijke betrekking tot de vader komt te staan, houdt het de geslachtsnaam van de moeder, tenzij de moeder en de man, wiens vaderschap is vastgesteld, ter gelegenheid van de vaststelling gezamenlijk verklaren dat het kind de geslachtsnaam van de vader zal hebben of van beide ouders in een vrij te bepalen volgorde. De rechterlijke uitspraak inzake de vaststelling van het vaderschap vermeldt de verklaring van de ouders omtrent de geslachtsnaamkeuze."
